x,rho_0.1,rho_0.05,rho_0.01,rho_0.005,rho_0.001,rho_0.0005,rho_0.0001
-1.0,-0.5670578683404589,-0.5925565595531785,-0.6068317421093155,-0.6082085579347466,-0.6092425574518019,-0.6093675631587376,-0.6094668862804014
-0.98,-0.5680710100291154,-0.593056182390258,-0.6069311324390112,-0.6082582395297785,-0.6092524922665029,-0.6093725304931177,-0.6094678797362799
-0.96,-0.5690633854263569,-0.5935456310912232,-0.6070285103340558,-0.6083069159329372,-0.6092622261944091,-0.6093773973931802,-0.6094688531067352
-0.94,-0.5700350115065104,-0.5940249101196142,-0.6071238760073603,-0.6083545872066701,-0.6092717592409123,-0.6093821638611757,-0.6094698063921459
-0.9199999999999999,-0.5709859049956612,-0.5944940238799541,-0.60721722967099,-0.6084012534137082,-0.6092810914115749,-0.6093868298994474,-0.6094707395929105
-0.8999999999999999,-0.5719160823670834,-0.5949529767165153,-0.607308571536099,-0.6084469146170449,-0.6092902227121275,-0.6093913955104293,-0.6094716527094469
-0.8799999999999999,-0.572825559836729,-0.5954017729120985,-0.6073979018128622,-0.6084915708799138,-0.609299153148466,-0.609395860696646,-0.6094725457421919
-0.8599999999999999,-0.5737143533587763,-0.5958404166868262,-0.6074852207104106,-0.6085352222657676,-0.6093078827266503,-0.6094002254607109,-0.6094734186916015
-0.8400000000000001,-0.5745824786212411,-0.5962689121969496,-0.6075705284367628,-0.6085778688382559,-0.6093164114528998,-0.6094044898053256,-0.6094742715581509
-0.8200000000000001,-0.5754299510416508,-0.5966872635336687,-0.6076538251987609,-0.6086195106612033,-0.6093247393335929,-0.6094086537332779,-0.6094751043423334
-0.8,-0.5762567857627847,-0.5970954747219707,-0.6077351112020023,-0.6086601477985873,-0.6093328663752633,-0.6094127172474423,-0.6094759170446608
-0.78,-0.5770629976484808,-0.5974935497194805,-0.607814386650775,-0.6086997803145157,-0.6093407925845971,-0.6094166803507766,-0.609476709665663
-0.76,-0.5778486012795122,-0.5978814924153297,-0.6078916517479906,-0.6087384082732045,-0.6093485179684306,-0.6094205430463218,-0.6094774822058879
-0.74,-0.5786136109495329,-0.5982593066290403,-0.6079669066951191,-0.6087760317389556,-0.6093560425337473,-0.6094243053372008,-0.6094782346659011
-0.72,-0.5793580406610974,-0.5986269961094263,-0.6080401516921227,-0.6088126507761333,-0.6093633662876745,-0.6094279672266169,-0.6094789670462855
-0.7,-0.580081904121753,-0.5989845645335131,-0.6081113869373912,-0.6088482654491424,-0.6093704892374813,-0.6094315287178521,-0.6094796793476409
-0.6799999999999999,-0.5807852147402074,-0.5993320155054741,-0.608180612627676,-0.6088828758224051,-0.6093774113905749,-0.6094349898142664,-0.6094803715705845
-0.6599999999999999,-0.5814679856225741,-0.5996693525555854,-0.6082478289580254,-0.6089164819603375,-0.609384132754498,-0.6094383505192961,-0.6094810437157497
-0.6399999999999999,-0.5821302295686956,-0.5999965791391998,-0.6083130361217207,-0.6089490839273283,-0.609390653336925,-0.6094416108364518,-0.6094816957837866
-0.6199999999999999,-0.5827719590685472,-0.6003136986357402,-0.6083762343102109,-0.6089806817877131,-0.6093969731456599,-0.6094447707693175,-0.6094823277753609
-0.5999999999999999,-0.5833931862987211,-0.6006207143477125,-0.6084374237130493,-0.6090112756057542,-0.6094030921886321,-0.6094478303215488,-0.6094829396911542
-0.5800000000000001,-0.5839939231189948,-0.6009176294997376,-0.6084966045178304,-0.609040865445615,-0.6094090104738937,-0.609450789496872,-0.6094835315318636
-0.56,-0.5845741810689825,-0.6012044472376059,-0.6085537769101261,-0.609069451371338,-0.6094147280096167,-0.609453648299082,-0.6094841032982018
-0.54,-0.5851339713648732,-0.6014811706273507,-0.6086089410734234,-0.609097033446822,-0.6094202448040885,-0.6094564067320406,-0.6094846549908958
-0.52,-0.5856733048962541,-0.601747802654344,-0.6086620971890623,-0.6091236117357974,-0.6094255608657095,-0.6094590647996753,-0.6094851866106873
-0.5,-0.5861921922230242,-0.6020043462224135,-0.6087132454361734,-0.6091491863018045,-0.6094306762029891,-0.609461622505977,-0.6094856981583328
-0.48,-0.5866906435723952,-0.602250804152982,-0.6087623859916178,-0.6091737572081692,-0.6094355908245425,-0.6094640798549996,-0.6094861896346018
-0.45999999999999996,-0.5871686688359848,-0.6024871791842288,-0.6088095190299254,-0.6091973245179805,-0.6094403047390873,-0.6094664368508566,-0.609486661040278
-0.43999999999999995,-0.5876262775670006,-0.6027134739702737,-0.6088546447232355,-0.6092198882940665,-0.6094448179554399,-0.6094686934977209,-0.6094871123761586
-0.41999999999999993,-0.5880634789775175,-0.6029296910803855,-0.6088977632412368,-0.6092414485989717,-0.6094491304825118,-0.6094708497998226,-0.6094875436430531
-0.3999999999999999,-0.5884802819358487,-0.6031358329982113,-0.6089388747511089,-0.609262005494934,-0.6094532423293056,-0.6094729057614466,-0.609487954841784
-0.3799999999999999,-0.5888766949640115,-0.6033319021210324,-0.6089779794174637,-0.6092815590438614,-0.6094571535049127,-0.6094748613869326,-0.6094883459731859
-0.3599999999999999,-0.5892527262352902,-0.6035179007590428,-0.6090150774022878,-0.6093001093073087,-0.6094608640185079,-0.6094767166806708,-0.6094887170381058
-0.33999999999999986,-0.5896083835718946,-0.6036938311346516,-0.6090501688648862,-0.6093176563464547,-0.609464373879347,-0.6094784716471021,-0.6094890680374018
-0.32000000000000006,-0.5899436744427166,-0.6038596953818113,-0.6090832539618249,-0.6093342002220797,-0.6094676830967626,-0.6094801262907156,-0.6094893989719431
-0.30000000000000004,-0.5902586059611865,-0.60401549554537,-0.609114332846877,-0.6093497409945419,-0.60947079168016,-0.6094816806160467,-0.6094897098426102
-0.28,-0.5905531848832288,-0.6041612335804499,-0.6091434056709665,-0.609364278723755,-0.6094736996390141,-0.6094831346276753,-0.6094900006502938
-0.26,-0.5908274176053168,-0.6042969113518497,-0.6091704725821152,-0.609377813469166,-0.609476406982865,-0.6094844883302242,-0.6094902713958948
-0.24,-0.5910813101626294,-0.6044225306334746,-0.6091955337253893,-0.6093903452897323,-0.6094789137213142,-0.6094857417283567,-0.6094905220803241
-0.21999999999999997,-0.5913148682273113,-0.6045380931077907,-0.609218589242847,-0.609401874243899,-0.6094812198640216,-0.6094868948267753,-0.6094907527045015
-0.19999999999999996,-0.5915280971068321,-0.6046436003653061,-0.6092396392734873,-0.6094124003895772,-0.6094833254207,-0.6094879476302191,-0.609490963269356
-0.17999999999999994,-0.591721001742452,-0.6047390539040784,-0.6092586839531993,-0.6094219237841214,-0.6094852304011127,-0.6094889001434627,-0.6094911537758256
-0.15999999999999992,-0.5918935867077891,-0.6048244551292493,-0.609275723414712,-0.6094304444843079,-0.6094869348150684,-0.6094897523713135,-0.6094913242248564
-0.1399999999999999,-0.5920458562074922,-0.6048998053526049,-0.6092907577875463,-0.609437962546313,-0.6094884386724189,-0.6094905043186103,-0.6094914746174018
